maliciousness	wrongdoing	malice	foul play	wrongfulness	offence	foulness	unfaithfulness	voluptuousness	evilness	iniquity	harmedness	insinuation	possessiveness	unintentional harm	prevarication	calamity	unintentionality	premeditation	attempt
view	picture	perspective	vantage	picture show	representational medium	representational process	theorist	perceptual state	data-storage medium	horological science	angle	horological view	perceptual aspect	perceptual understanding	perceptual perception	mathematical process	theory of mind	perceptual process	perceptual content
person	businessman	political leader	writer	man	personal name	thespian	man of letters	author	sculptor	engineer	architect	editor	jurisconsult	anthropologist	evaluator	business person	public servant	lexicographer	businessperson
conflict	combat	guerrilla	warring	armed conflict	combativeness	conflicting ideologies	rebellious act	combative action	tactic	combatant	rebelliousness	armed combat	military force	guerilla	conflicts of armies	gordonism	guerrilla fighting	gorgonialism	conflicting interests
deputy chief of state	chief of state	president	benefendiary institution	person	political leader	leader	head of state	chief	post	person responsible for his/her delegated position	benefendiary service	boss	head of government	high command	admirator	official title	chief of staff	olympic sports	apex person
person	male person	man	ape	piece of work	female person	homologue	persuader	male character	fictitious character	obligor	piece of ground	heirloom	sex animal	sex unit	homologous person	sex partner	sex act	sexe	sex orientation
dish	ceremonial occasion	potpourri	mix	culinary preparation	mixture	diffuser	culinary art	form of artifact	mix-up	decodable jar	decodable pots	culinary arts	decodrille	religious ritual	horological category	mixology	ceremonial ritual	form of artifice	horological concept
government	administration	public administration	state government	city council	municipal corporation	municipality	function	local government	public service	governmental unit	social control	governmental organization	municipal government	county council	governmental organisation	administrative unit	municipal organization	public sector	city hall
penalty	mental anguish	bodily process	ill-treatment	correctional institution (detention)	incarceration	punishment	mistreatment	ill treatment	correctional institution (humane institution)	correctional institution (correction)	social control	confinement	physical punishment	persecutor	physical process	penalization	torture	prisoner of war	correctional institution/institutionalized institution
grass	plant	graminea	grassland	species	herb	graminea grass	herbaceous plant	eucalyptus	alpine grass	alpine grasses	alpine grassland	unicameral seed	unicyptid	unicameral landform	green grass	unicameral land plant	conifergrass	theropodical species	unicyprioideal orchid
lens	optical device	eyeglasse	optical lense	optics	body part	optical equipment	optical system	optical component	eyeglass	telescopic shape	telescopic figure	eyeglasses	telescopic instrument	optical apparatus	photovoltaic unit	ophthalmology	photovoltaic device	photovoltaic element	physical phenomenon
wrongdoing	grievance	abuse	bad treatment	abhorrence	violent crime	mistreatment	wrongful treatment	mauvais traitement	necessitiy	persecutor	necessitiously or unlawfully	hontological category	necessitousness	necessitating	necessitiary intervention	necessary action	abjectness	necessitated suffering	oppression
data-storage medium	software	telecommunication	technical specification (specification)	communication medium	computer code	coding system	storage medium	transmission channel	data-communication medium	computer program	computer programme	network storage medium	telecommunication medium	information storage medium	information storage device	telecommunication channel	software program	communications medium	computing machine
physical property	data-storage medium	physical system	measurable quantity	theta	electrical energy	measure	pulse	measurement	measured quantity	period of time	electromagnetic field	grammatical category	metric	equivalence	equivalency	titbit	acoustical instrument	meter	data-storage medium and storage medium
geographical region	region	county	local government	county council	locale	area of land	mapmaking	geographical area	area of outstanding natural beauty	local government area	local authority	geographic location	borough	spatial analysis	shire	city	country	public administration	area of concern
conservation area	protected area	bird sanctuary	aviary	sanctuary	natural habitat	place of worship	zoo	place of refuge	wildlife preserve	natural area	conservation effort	preserve	wildlife habitat	wildlife sanctuary	charity	non-governmental organization	sanctum	zoological park	invertebrate habitat
person	musical composition	work of art	actor	songwriter	lyricist	performer	musical group	composer	visual arts and performing arts	visual arts ed.	musical organization	playworshipping	visual arts edifice	lyrist	playworship music group	playworship	visual arts and entertainment industry	thespian	figure of speech
city	local government area	town	local government	zoological garden	musical composition	musical work	picture	piece of work	zoo	municipality	government	place of worship	local government district	incest	innumerable	piece of art	person	house of cards	public place
sustainability	economic development	sustainable development	economic viability	satisfactoryness	relational construct	function of time	long-term success	environmental sustainability	relational constructs	long-term achievement	long-term stability	practicality	moral philosophy	relational concept	sustainable use	long-term goal	long-term performance	relational validity	long-term validity
element	water	chemical group	elemental form	phosphate	alkaloid	nutrient	compound	chelating agent	mineral	organic compound	elemental carbon	sulfate	molecular entity	elemental metal	protein	elemental substance	salt	silicic acid	chemical element
town	city	county courthouse	municipality	place of worship	courthouse	place	locale	person	agglomeration	local government	agglomerate	courtroom	hamlet	place of business	municipal corporation	horologist	mapmaking	county court	courthouse.
war	conflict	rivalry	military action	military conflict	armed conflict	warring	contest	fighting	armed struggle	difference of opinion	clash of the armies	clash of armies	conflict between two countries	armed combat	military operation	peacekeeping operation	clash between two countries	hostilities	conflict between two nations
